处方	chu4 fang1
我得	wo3 dei3
做得	zuo4 de5
姓单	xing4 shan4
嗯嗯	en4 en4
乐呵乐呵	le4 he5 le4 he5
教你练	jiao1 ni3 lian4
说说呗	shuo1 shuo1 bei5
为你感到高兴	wei4 ni2 gan3 dao4 gao1 xing4
不当内容	bu2 dang4 nei4 rong2
给你好好说道说道	gei2 ni2 hao3 hao1 shuo1 dao5 shuo1 dao5
快得多	kuai4 de5 duo1
丰富得多	feng1 fu4 de5 duo1
只发了	zhi3 fa1 le5
兄弟相称	xiong1 di4 xiang1 cheng1
和平共处	he2 ping2 gong4 chu3
麻烦	ma2 fan5
一加	yi1 jia1
你妈妈	ni3 ma1 ma5
一对一	yi1 dui4 yi1
有一个	you3 yi2 ge4
清楚了	qing1 chu3 le5
看清楚了	kan4 qing1 chu3 le5
这句话说得	zhe4 ju4 hua4 shuo1 de5
或一个	huo4 yi2 ge4
问得好	wen4 de5 hao3
一是	yi1 shi4
的意思	de5 yi4 si5
什么事情	shen2 me5 shi4 qing5
为缅甸	wei4 mian3 dian4
